Nome,Vida,Atk,Def,SpA,SpD,Vel,Mag,Per,Ene,EnR,CrD,CrC,Sinergia,Habilidades,Equipaveis,Total,Poder R1,Poder R2,Poder R3,Tipo1,%1,Tipo2,%2,Tipo3,%3,Altura,Peso,Raridade,Estagio,FF,Code,Linhagem
Silcoon,45,20,29,14,20,13,19,22,18,10,5,15,4,1,1,505,147,265,359,inseto,100,,,,,,,4,2,,390,135
Beautifly,63,32,29,45,29,31,62,22,42,14,5,15,4,1,2,829,298,487,647,inseto,100,voador,100,fada,10,,,8,3,,391,135
Cascoon,45,20,29,14,20,13,19,22,18,10,5,15,4,1,1,505,147,265,359,inseto,100,,,,,,,4,2,,392,135
Dustox,69,27,37,27,58,33,30,27,40,19,10,15,4,1,2,834,270,465,627,inseto,100,venenoso,100,voador,50,,,8,3,,393,135
Lotad,50,18,18,24,27,19,24,14,26,10,5,5,5,1,1,530,156,290,390,planta,100,agua,100,,,,,2,1,,394,136
Lombre,64,23,23,30,38,23,31,15,35,10,5,5,5,1,1,640,210,378,500,planta,100,agua,100,,,,,5,2,,395,136
Ludicolo,82,30,30,42,58,29,46,16,46,12,5,5,5,2,2,862,300,526,676,planta,100,agua,100,,,,,7,3,,396,136
Seedot,30,18,29,16,18,19,19,19,22,14,8,8,3,1,1,494,140,252,350,planta,100,sombrio,10,,,,,2,1,,397,137
Nuzleaf,57,31,25,29,25,30,22,23,24,20,10,10,3,1,1,645,180,337,475,planta,100,sombrio,80,,,,,5,2,,398,137
Shiftry,79,52,29,42,29,36,31,28,30,26,20,20,3,1,2,881,267,461,633,planta,100,sombro,100,,,,,8,3,,399,137
Taillow,46,27,18,18,18,38,18,22,25,18,15,10,4,1,1,598,180,306,414,voador,100,,,,,,,2,1,,400,138
Swellow,68,38,25,30,23,62,22,24,33,19,25,15,4,1,2,819,268,444,588,voador,100,,,,,,,6,2,,401,138
Wingull,49,16,18,19,16,36,23,31,20,14,10,15,3,1,1,569,183,307,407,voador,100,agua,100,,,,,3,1,,402,139
Pelipper,85,19,47,37,29,30,24,31,40,18,10,15,3,1,2,793,259,455,599,voador,100,agua,100,,,,,7,2,,403,139
Ralts,27,14,14,26,20,22,25,18,24,16,10,15,3,1,1,521,150,270,360,psiquico,100,fada,100,,,,,3,1,,404,140
Kirlia,44,21,21,38,32,29,40,24,35,18,10,15,3,1,1,698,226,396,524,psiquico,100,fada,100,,,,,6,2,,405,140
Gardevoir,72,32,32,68,56,38,48,29,46,20,15,15,3,2,2,1000,344,584,770,psiquico,100,fada,100,,,,,9,3,,406,140
Mega Gardevoir,72,40,32,81,70,40,62,29,46,20,15,15,3,2,2,1102,426,678,872,psiquico,100,fada,100,,,,,-,FF,,407,140
Gallade,72,68,32,32,56,38,40,37,46,20,15,15,3,2,2,1000,340,570,770,psiquico,100,lutador,100,,,,,9,3,,408,140
Mega Gallade,72,81,32,40,70,40,40,42,46,20,15,24,3,2,2,1102,394,638,854,psiquico,100,lutador,100,,,,,-,FF,,409,140
Surskit,38,15,16,20,21,24,24,24,15,12,5,10,4,1,1,502,144,264,356,inseto,100,agua,100,,,,,2,1,,410,141
Masquerain,68,26,27,37,33,32,53,28,25,15,5,10,4,1,2,765,248,434,590,inseto,100,voador,100,agua,10,,,6,2,,411,141
Shroomish,59,20,27,20,27,18,22,17,28,9,5,10,5,1,1,564,169,307,417,planta,100,,,,,,,2,1,,412,142
Breloom,65,64,33,20,30,25,22,18,32,16,10,15,4,1,2,751,259,433,553,planta,100,lutador,100,,,,,7,2,,413,142
Slakoth,43,22,22,17,17,16,19,23,26,14,5,10,3,1,1,509,142,267,367,normal,100,,,,,,,3,1,,414,143
Vigoroth,77,37,37,24,24,38,22,30,36,16,5,10,3,1,1,721,227,433,573,normal,100,,,,,,,6,2,,415,143
Slaking,142,62,52,40,32,40,27,34,70,22,10,15,3,1,3,1082,406,670,856,normal,100,,,,,,,10,3,,416,143
Nincada,33,23,30,16,16,21,18,22,18,12,15,10,4,1,0,507,150,264,361,inseto,100,terrestre,100,,,,,2,1,,417,144
Ninjask,59,45,30,22,22,92,22,30,25,20,25,15,3,1,2,865,334,503,641,inseto,100,voador,100,,,,,7,2,,418,144
Shedinja,5,51,35,16,16,21,18,26,20,12,15,10,5,2,2,627,224,342,436,inseto,100,fantasma,100,,,,,7,2,,419,144
Whismur,49,23,13,23,13,16,18,16,22,14,10,15,5,1,1,519,141,253,343,sonoro,100,,,,,,,3,1,,420,145
Loudred,79,35,22,35,22,24,21,19,32,18,10,15,5,1,1,693,219,375,499,sonoro,100,,,,,,,6,2,,421,145
Exploud,103,50,32,50,34,29,29,25,41,21,15,15,5,1,2,916,303,517,683,sonoro,100,,,,,,,9,3,,422,145
Makuhita,68,34,20,15,20,17,14,16,22,13,5,15,5,1,1,553,180,294,386,lutador,100,,,,,,,4,1,,423,146
Hariyama,146,71,31,20,31,22,19,22,40,16,5,20,4,1,2,856,368,536,660,lutador,100,,,,,,,7,2,,424,146
Nosepass,36,21,42,21,33,16,18,15,20,12,5,10,3,1,1,544,192,310,408,pedra,100,,,,,,,4,1,,425,147
Probopass,64,30,73,35,76,19,22,18,42,13,5,10,3,1,2,853,382,576,694,pedra,100,metal,80,,,,,8,2,,426,147
Skitty,48,24,24,19,19,26,25,22,22,15,15,10,2,1,1,565,150,290,410,normal,100,,,,,,,2,1,,427,148
Delcatty,76,32,32,27,27,38,36,30,32,18,15,10,2,2,2,788,224,416,584,normal,100,sonoro,10,,,,,6,2,,428,148
Sableye,51,36,36,31,31,27,28,32,30,16,15,5,4,2,2,761,208,392,553,sombrio,100,fantasma,100,,,,,5,1,,429,149
Mega Sableye,51,36,61,31,56,27,28,32,30,16,15,5,4,2,2,861,306,492,653,sombrio,100,fantasma,100,,,,,-,FF,,430,149
Mawile,50,42,42,26,26,25,39,30,30,15,25,15,2,2,2,795,246,418,570,fada,100,metal,80,sombrio,10,,,5,1,,431,150
Mega Mawile,50,52,61,26,40,25,39,30,30,15,32,15,2,2,2,895,306,508,670,fada,100,metal,80,sombrio,10,,,-,FF,,432,150
Aron,46,28,32,19,19,16,15,16,20,12,10,15,3,1,1,532,166,282,376,metal,100,pedra,80,,,,,3,1,,433,151
Lairon,63,36,49,23,23,18,17,20,36,14,10,15,3,1,2,689,242,397,507,metal,100,pedra,80,,,,,6,2,,434,151
Aggron,101,64,82,32,32,25,23,36,48,18,12,20,3,1,2,993,393,625,785,metal,100,pedra,80,,,,,10,3,,435,151
Mega Aggron,101,76,96,33,42,25,23,42,50,18,12,20,3,1,2,1083,445,713,875,metal,100,pedra,10,,,,,-,FF,,436,151
Meditite,34,20,24,20,24,26,17,17,21,14,5,20,3,1,0,514,148,270,378,lutador,100,psiquico,100,,,,,2,1,,437,152
Medicham,71,35,38,35,38,36,24,25,30,18,8,25,4,2,2,833,224,435,595,lutador,100,psiquico,100,,,,,7,2,,438,152
Mega Medicham,73,44,44,44,44,44,28,28,30,20,10,25,4,2,2,935,264,513,685,lutador,100,psiquico,100,,,,,-,FF,,439,152
Electrike,40,21,20,26,20,26,18,19,20,20,10,15,3,1,1,560,146,266,384,eletrico,100,,,,,,,3,1,,440,153
Manectric,70,30,28,38,28,38,19,21,39,32,12,15,3,1,2,792,230,424,578,eletrico,100,,,,,,,7,2,,441,153
Mega Manectric,70,35,30,47,30,47,19,21,52,43,16,15,3,1,2,913,292,518,680,eletrico,100,,,,,,,-,FF,,442,153
Plusle,48,21,25,40,35,43,29,24,27,27,15,5,5,1,1,747,236,402,548,eletrico,100,,,,,,,4,1,,443,154
Minun,48,21,25,35,40,43,29,24,27,27,5,15,5,1,1,747,236,402,548,eletrico,100,,,,,,,4,1,,444,155
Volbeat,52,30,30,22,36,36,40,15,30,15,5,10,5,1,2,715,224,404,530,inseto,100,cosmico,50,,,,,3,1,,445,156
Illumise,52,30,30,36,22,36,40,15,30,15,5,10,5,1,2,715,224,404,530,inseto,100,cosmico,50,,,,,6,1,,446,157
Budew,35,13,15,20,25,19,26,9,18,10,5,5,2,1,0,415,142,251,327,planta,100,venenoso,100,,,,,2,1,,447,158
Roselia,48,25,20,38,34,26,50,18,32,16,5,12,3,1,1,686,244,410,534,planta,100,venenoso,100,,,,,5,2,,448,158
Roserade,59,32,30,53,46,38,65,20,35,24,10,15,4,1,2,919,328,538,705,planta,100,venenoso,100,,,,,7,3,,449,158
Gulpin,67,23,27,23,27,22,27,10,28,12,5,10,3,1,1,577,177,331,445,venenoso,100,,,,,,,2,1,,450,159
Swalot,107,34,37,34,37,28,36,12,38,15,6,12,3,1,2,790,257,471,625,venenoso,100,,,,,,,6,2,,451,159
Carvanha,43,35,15,28,15,29,16,18,20,15,15,10,4,1,1,570,184,303,395,sombrio,100,agua,100,,,,,3,1,,452,160
Sharpedo,77,65,20,40,20,42,18,26,35,18,20,15,4,1,2,833,294,493,613,sombrio,100,agua,100,,,,,8,2,,453,160
Mega Sharpedo,77,78,32,46,32,45,18,30,35,18,25,15,4,1,2,943,338,549,723,sombrio,100,agua,100,,,,,-,FF,,454,160
Wailmer,125,32,18,32,18,28,20,21,32,10,3,6,3,1,1,645,253,415,527,agua,100,,,,,,,4,1,,455,161
Wailord,174,44,23,44,23,30,26,24,59,15,5,10,3,1,2,885,380,580,720,agua,100,,,,,,,9,2,,456,161
Numel,54,27,19,28,21,18,17,17,24,12,10,15,4,1,1,562,164,292,396,fogo,100,terrestre,100,,,,,3,1,,457,162
Camerupt,82,49,30,50,33,22,23,23,39,15,10,15,4,1,2,815,280,484,620,fogo,100,terrestre,100,,,,,8,2,,458,162
Mega Camerupt,82,58,41,66,43,22,23,23,42,16,10,15,4,1,2,916,334,582,718,fogo,100,terrestre,100,,,,,-,FF,,459,162
Torkoal,73,40,62,40,34,16,20,19,35,10,10,15,3,1,3,795,284,495,605,fogo,100,,,,,,,5,1,,460,163
Spoink,38,8,13,26,29,20,21,18,18,18,10,15,3,1,1,518,152,266,368,psiquico,100,,,,,,,1,1,,461,164
Grumpig,74,16,21,35,45,29,29,24,36,18,10,15,3,1,2,738,236,422,548,psiquico,100,,,,,,,5,2,,462,164
Spinda,40,20,20,20,20,20,25,25,25,15,15,25,5,1,1,605,150,280,400,normal,100,,,,,,,3,1,,463,165
Trapinch,43,42,21,21,21,12,14,22,20,13,20,5,4,1,1,558,171,297,405,terrestre,100,,,,,,,3,1,,464,166
Vibrava,50,42,25,25,25,32,18,22,26,15,20,5,4,1,2,675,200,350,484,terrestre,100,dragao,80,voador,50,,,5,2,,465,166
Flygon,77,42,33,33,33,42,26,22,34,18,21,10,4,2,2,843,245,445,607,terrestre,100,dragao,100,voador,80,,,8,3,,466,166
Cacnea,41,30,20,30,20,15,12,30,25,10,15,10,2,1,1,545,180,311,411,planta,100,terrestre,50,,,,,3,1,,467,167
Cacturne,73,41,30,41,30,25,20,40,35,12,32,10,2,1,2,797,244,451,621,planta,100,sombrio,100,terrestre,50,,,7,2,,468,167
Swablu,42,19,25,20,32,22,26,15,20,15,5,10,4,1,1,555,166,292,400,voador,100,normal,100,,,,,3,1,,469,168
Altaria,77,34,39,34,58,33,40,15,38,18,5,10,4,2,3,883,274,495,665,voador,100,dragao,100,,,,,8,2,,470,168
Mega Altaria,77,57,57,57,57,33,40,15,38,18,5,12,3,2,3,1003,342,613,791,dragao,100,fada,100,voador,50,,,-,FF,,471,168
Zangoose,73,38,33,33,33,39,22,38,30,23,22,10,1,1,2,808,230,435,607,normal,100,,,,,,,5,1,,472,169
Seviper,75,45,30,30,45,32,25,20,32,16,23,12,2,1,2,791,255,443,599,venenoso,100,,,,,,,5,1,,473,170
Lunatone,70,29,34,50,41,36,41,19,30,10,5,20,4,1,2,810,264,474,632,pedra,100,psiquico,100,cosmico,100,,,5,1,,474,171
Solrock,70,50,41,29,34,36,41,19,30,10,5,20,4,1,2,810,264,474,632,pedra,100,psiquico,100,cosmico,100,,,5,1,,475,172
Barboach,38,18,16,17,15,23,18,15,16,12,8,8,5,1,1,472,120,222,314,agua,100,terrestre,50,,,,,2,1,,476,173
Whiscash,117,39,37,38,36,30,25,18,41,15,10,10,5,1,2,840,277,499,645,agua,100,terrestre,50,,,,,7,2,,477,173
Corphish,40,32,27,24,15,15,14,16,20,10,15,12,2,1,1,510,166,278,368,agua,100,,,,,,,3,1,,478,174
Crawdaunt,79,56,34,37,21,20,18,20,40,12,25,30,2,1,2,797,271,473,605,agua,100,sombrio,80,,,,,8,2,,479,174
Baltoy,40,20,25,20,29,25,26,16,21,18,5,5,3,1,1,548,160,292,408,terrestre,100,psiquico,100,cosmico,10,,,3,1,,480,175
Claydol,57,28,42,28,48,29,48,20,48,18,5,5,3,1,2,803,288,487,639,terrestre,100,psiquico,100,cosmico,10,,,7,2,,481,175
Lileep,47,19,33,31,40,11,30,18,30,12,5,10,1,1,1,587,208,375,473,planta,100,pedra,100,,,,,2,1,,482,176
Cradily,81,37,40,37,46,17,37,21,36,16,10,15,1,1,2,791,253,475,623,planta,100,pedra,100,,,,,7,2,,483,176
Anorith,38,33,21,18,21,26,18,22,21,9,10,12,2,1,1,529,162,288,398,pedra,100,inseto,100,,,,,3,1,,484,177
Armaldo,79,59,43,28,32,26,25,28,38,12,12,15,2,1,2,807,283,479,637,pedra,100,inseto,100,,,,,8,2,,485,177
Feebas,35,9,15,11,26,33,26,12,16,12,5,10,3,1,1,467,170,267,337,agua,100,,,,,,,2,1,,486,178
Milotic,91,23,39,46,63,34,63,24,40,15,5,15,3,1,2,930,344,593,755,agua,100,dragao,10,,,,,9,2,,487,178
Milotic Radiante,91,27,43,50,67,38,67,28,44,17,8,18,4,1,2,1022,368,633,819,agua,100,dragao,10,,,,,-,FF,,488,178
Castform,55,28,28,28,28,28,28,28,28,14,21,21,5,2,1,739,168,336,503,normal,100,,,,,,,5,1,,489,179
CastformSunny,55,28,28,28,28,28,28,28,28,14,21,21,5,2,1,739,168,336,503,fogo,100,,,,,,,-,F,,490,179
CastformRainy,55,28,28,28,28,28,28,28,28,14,21,21,5,2,1,739,168,336,503,agua,100,,,,,,,-,F,,491,179
CastformSnowy,55,28,28,28,28,28,28,28,28,14,21,21,5,2,1,739,168,336,503,gelo,100,,,,,,,-,F,,492,179
Kecleon,53,33,29,25,44,22,29,25,29,18,5,12,3,2,2,723,212,381,525,normal,100,,,,,,,4,1,,493,180
Shuppet,35,34,17,30,16,24,28,21,20,15,10,10,4,1,1,580,184,314,415,fantasma,100,,,,,,,2,1,,494,181
Banette,58,49,24,39,23,25,29,27,32,18,25,10,3,1,2,768,240,410,558,fantasma,100,,,,,,,7,2,,495,181
Mega Banette,58,84,30,39,29,28,29,32,32,18,25,10,3,1,2,878,310,492,664,fantasma,100,,,,,,,-,FF,,496,181
Duskull,29,20,32,16,32,14,30,16,18,12,5,8,4,1,1,527,188,296,385,fantasma,100,,,,,,,2,1,,497,182
Dusclops,44,35,51,30,51,18,38,20,34,14,10,12,4,1,2,784,280,478,598,fantasma,100,,,,,,,7,2,,498,182
Dusknoir,55,46,59,35,59,25,47,22,36,15,10,16,4,1,3,930,330,564,713,fantasma,100,psiquico,10,,,,,9,3,,499,182
Tropius,95,36,43,38,45,28,25,26,45,21,8,15,5,1,2,886,275,509,667,planta,100,voador,100,,,,,6,1,,500,183
Chimecho,31,12,17,23,17,16,21,15,16,12,5,5,3,1,0,411,122,220,305,psiquico,100,,,,,,,-,0,,501,184
Chingling,65,19,32,39,36,30,33,22,30,24,15,10,3,1,1,739,216,405,557,psiquico,100,,,,,,,5,1,,502,184
Absol,69,54,30,35,30,36,32,36,30,20,25,10,4,1,2,865,252,455,635,sombrio,100,,,,,,,8,1,,503,185
Mega Absol,69,63,30,47,30,46,32,46,34,20,25,15,4,1,2,965,312,541,725,sombrio,100,cosmico,50,,,,,-,FF,,504,185
Snorunt,40,20,20,20,20,20,20,20,20,10,15,15,4,1,1,530,120,240,360,gelo,100,,,,,,,3,1,,505,186
Glalie,76,38,38,38,38,38,38,38,40,20,23,23,4,1,2,940,232,460,688,gelo,100,,,,,,,8,2,,506,186
Mega Glalie,76,50,38,50,38,42,38,38,52,20,23,23,4,1,2,1020,304,540,768,gelo,100,,,,,,,-,FF,,507,186
Froslass,70,38,34,38,34,45,50,34,34,16,21,21,5,1,2,926,266,480,684,gelo,100,fantasma,80,,,,,8,2,,508,186
Spheal,51,19,23,24,23,16,23,18,24,12,5,15,3,1,1,537,147,285,391,gelo,100,agua,100,,,,,3,1,,509,187
Sealeo,83,24,30,33,30,20,30,25,34,15,5,15,3,1,2,710,217,397,535,gelo,100,agua,100,,,,,6,2,,510,187
Walrein,123,34,42,48,42,28,40,33,51,18,10,15,3,1,3,973,321,569,759,gelo,100,agua,100,,,,,9,3,,511,187
Clamperl,33,25,30,27,22,15,32,15,17,10,5,8,2,1,1,515,178,306,399,agua,100,,,,,,,2,1,,512,188
Huntail,65,35,36,28,29,25,34,25,30,18,10,15,2,2,2,753,210,393,549,agua,100,,,,,,,7,2,,513,188
Gorebyss,65,25,36,38,29,25,34,25,30,18,10,15,2,2,2,753,216,399,549,agua,100,,,,,,,7,2,,514,188
Relicanth,91,39,50,23,31,26,25,26,34,13,5,10,4,1,2,768,269,451,599,pedra,100,agua,100,,,,,5,1,,515,189
Luvdisc,43,12,22,16,26,44,40,30,28,16,4,8,3,1,1,621,228,380,487,agua,100,,,,,,,4,1,,516,190
Bagon,44,28,26,22,20,24,22,20,20,12,5,10,3,1,1,544,156,288,408,dragao,100,,,,,,,4,1,,517,191
Shelgon,67,33,36,27,25,25,26,24,32,16,10,15,3,1,2,711,205,375,523,dragao,100,,,,,,,7,2,,518,191
Salamence,108,76,37,54,37,45,32,28,46,21,15,20,3,1,2,1041,368,624,818,dragao,100,voador,100,,,,,10,3,,519,191
Mega Salamence,110,83,59,57,37,57,34,30,46,22,15,20,3,1,2,1142,398,714,916,dragao,100,voador,100,,,,,-,FF,,520,191
Beldum,42,25,32,17,26,16,18,23,23,15,5,10,3,1,1,547,166,300,402,metal,100,psiquico,100,,,,,4,1,,521,192
Metang,63,34,44,24,35,23,24,31,30,16,10,10,3,1,1,711,226,411,553,metal,100,psiquico,100,,,,,7,2,,522,192
Metagross,98,68,65,46,42,34,33,40,44,20,12,12,3,1,2,1040,364,628,842,metal,100,psiquico,100,,,,,10,3,,523,192
Mega Metagross,98,75,80,49,51,50,33,40,44,20,12,12,3,1,2,1140,412,708,942,metal,100,psiquico,100,,,,,-,FF,,524,192
Regirock,92,46,92,30,46,21,31,27,48,10,12,16,5,1,3,990,372,618,774,pedra,100,normal,10,,,,,-,1,,525,193
Regice,92,30,46,46,92,21,31,27,48,10,12,16,5,1,3,990,372,618,774,gelo,100,normal,10,,,,,-,1,,526,194
Registeel,92,38,69,38,69,21,31,27,48,10,12,16,5,1,3,990,372,616,774,metal,100,normal,10,,,,,-,1,,527,195
Latias,85,39,45,52,60,52,42,44,36,20,10,15,3,1,2,1025,328,591,825,dragao,100,cosmico,80,psiquico,50,,,-,1,,528,196
Mega Latias,88,40,46,61,71,62,42,51,38,20,15,15,3,1,2,1120,388,670,910,dragao,100,cosmico,100,psiquico,50,,,-,FF,,529,196
Latios,85,45,39,60,52,52,42,44,36,20,10,15,3,1,2,1025,328,591,825,dragao,100,cosmico,80,psiquico,50,,,-,1,,530,197
Mega Latios,88,46,40,71,61,62,42,51,38,20,15,15,3,1,2,1120,388,670,910,dragao,100,cosmico,100,psiquico,50,,,-,FF,,531,197
Kyogre,115,54,42,72,65,40,34,38,62,18,15,20,4,1,2,1153,398,705,929,agua,100,,,,,,,-,1,,532,198
Mega Kyogre,120,67,42,95,78,40,34,38,73,18,15,20,4,1,2,1278,492,830,1054,agua,100,,,,,,,-,FF,,533,198
Groudon,115,72,65,54,42,40,34,38,62,18,15,20,4,1,2,1153,398,705,929,terrestre,100,,,,,,,-,1,,534,199
Mega Groudon,120,95,78,67,42,40,34,38,73,18,15,20,4,1,2,1278,492,830,1054,terrestre,100,fogo,100,,,,,-,FF,,535,199
Rayquaza,100,75,45,75,45,55,30,45,50,25,20,15,4,1,2,1185,410,700,940,dragao,100,voador,100,cosmico,80,,,-,1,,536,200
Mega Rayquaza,100,92,50,92,50,62,35,45,54,25,20,15,4,1,2,1305,492,800,1060,dragao,100,voador,100,cosmico,100,,,-,FF,,537,200
Jirachi,72,38,38,38,38,38,38,38,38,20,23,72,2,2,2,1030,296,524,752,metal,100,psiquico,100,,,,,-,1,,538,201
Jirachi Radiante,72,42,42,42,42,42,42,42,42,22,26,75,3,2,2,1122,318,570,822,metal,100,psiquico,100,,,,,-,FF,,539,201
Deoxys,70,50,45,50,45,50,35,40,35,20,15,15,5,1,2,1000,300,560,770,cosmico,100,,,,,,,-,1,,540,202
DeoxysAttack,70,85,15,85,15,50,10,50,35,20,20,10,5,1,2,990,440,680,790,cosmico,100,,,,,,,-,F,,541,202
DeoxysDefense,70,20,80,20,80,30,50,25,40,20,10,20,5,1,2,990,420,630,760,cosmico,100,,,,,,,-,F,,542,202
DeoxysSpeed,70,45,40,45,40,85,25,25,30,30,15,15,5,1,2,1000,350,580,750,cosmico,100,,,,,,,-,F,,543,202
Turtwig,50,26,26,18,23,16,15,16,25,10,10,15,3,1,1,530,154,286,380,planta,100,,,,,,,3,1,,544,203
Grotle,72,40,39,24,28,19,22,22,37,13,10,15,3,1,2,713,232,408,534,planta,100,terrestre,50,,,,,6,2,,545,203
Torterra,107,56,55,31,40,24,29,30,61,16,12,15,3,1,3,971,344,593,759,planta,100,terrestre,100,,,,,9,3,,546,203
Chimchar,40,25,20,25,20,27,18,19,20,14,5,12,3,1,1,534,154,274,388,fogo,100,,,,,,,3,1,,547,204
Monferno,64,36,24,36,24,39,22,22,30,19,6,15,3,1,2,719,222,394,530,fogo,100,lutador,80,,,,,6,2,,548,204
Infernape,85,55,31,55,31,61,29,28,40,22,10,18,3,1,3,977,342,569,745,fogo,100,lutador,100,,,,,9,3,,549,204
Piplup,42,20,21,23,22,18,19,24,20,12,10,15,3,1,1,532,138,262,376,agua,100,gelo,10,,,,,3,1,,550,205
Prinplup,64,29,31,34,33,23,20,35,28,13,12,15,3,1,2,713,204,388,530,agua,100,gelo,50,,,,,6,2,,551,205
Empoleon,87,44,45,51,50,27,21,53,34,17,22,15,3,1,3,972,308,573,739,agua,100,metal,100,gelo,80,,,9,3,,552,205
Starly,41,26,17,17,17,28,20,17,20,15,5,10,4,1,1,520,149,263,365,voador,100,,,,,,,2,1,,553,206
Staravia,56,37,23,21,21,39,22,20,29,16,5,14,4,1,1,646,210,356,480,voador,100,,,,,,,5,2,,554,206
Staraptor,93,48,31,26,28,46,24,24,37,18,10,19,4,1,2,833,281,473,621,voador,100,,,,,,,8,3,,555,206
Bidoof,59,27,24,21,24,19,20,26,25,14,11,27,1,1,1,599,167,317,447,normal,100,,,,,,,1,1,,556,207
Bibarel,68,37,30,28,30,32,24,40,32,16,11,41,1,1,2,796,236,432,608,normal,100,agua,80,,,,,5,2,,557,207
Kricketot,36,16,21,16,21,16,22,20,22,11,22,15,4,1,1,531,132,256,356,inseto,100,sonoro,100,,,,,3,1,,558,208
Kricketune,71,38,26,28,26,30,25,36,29,12,52,15,2,1,2,797,252,441,601,inseto,100,sonoro,100,,,,,7,2,,559,208
Shinx,42,26,18,20,18,21,20,20,22,16,16,12,3,1,1,546,138,260,372,eletrico,100,,,,,,,3,1,,560,209
Luxio,68,36,25,32,25,32,26,24,29,18,26,18,3,1,1,738,204,378,530,eletrico,100,,,,,,,6,2,,561,209
Luxray,93,55,34,41,34,33,33,30,38,23,36,24,3,1,2,968,285,501,701,eletrico,100,,,,,,,9,3,,562,209
Cranidos,46,40,19,16,16,22,17,14,25,13,10,15,2,1,1,533,176,292,386,pedra,100,,,,,,,4,1,,563,210
Rampardos,89,83,28,30,25,26,19,16,36,15,15,10,2,1,2,790,327,495,615,pedra,100,,,,,,,8,2,,564,210
Shieldon,37,21,40,21,32,18,15,15,20,9,6,12,3,1,1,534,186,305,401,metal,100,pedra,100,,,,,4,1,,565,211
Bastiodon,64,28,81,26,62,18,19,20,34,12,6,12,3,1,2,802,354,526,640,metal,100,pedra,100,,,,,8,2,,566,211
Burmy,32,14,20,14,20,19,27,15,22,13,5,15,4,1,1,493,138,248,336,inseto,100,,,,,,,1,1,,567,212
WormadamPlant,62,23,35,33,45,19,35,19,30,15,5,15,4,1,2,725,230,418,540,inseto,100,planta,100,,,,,5,2,,568,212
WormadamSandy,62,33,45,23,35,19,35,19,30,15,5,15,4,1,2,725,230,418,540,inseto,100,terrestre,100,,,,,-,F,,569,212
WormadamTrash,62,28,40,28,40,19,35,19,30,15,5,15,4,1,2,725,230,408,540,inseto,100,metal,100,,,,,-,F,,570,212
Mothim,65,42,27,42,27,32,35,20,30,15,5,15,4,1,2,760,238,427,575,inseto,100,voador,100,,,,,-,F,,571,212
Combee,25,14,16,14,16,30,30,30,13,10,10,2,5,1,0,475,180,272,351,inseto,100,voador,100,,,,,1,1,,572,213
Vespiquen,71,39,46,39,46,20,20,40,32,14,27,9,4,1,2,849,264,491,649,inseto,100,voador,100,sombrio,10,,,7,2,,573,213
Pachirisu,33,24,28,26,41,45,52,25,25,25,25,10,2,1,1,770,276,434,584,eletrico,100,,,,,,,4,1,,574,214
Buizel,44,25,19,24,16,29,25,19,24,12,5,10,2,1,1,532,158,298,406,agua,100,,,,,,,3,1,,575,215
Floatzel,77,41,25,34,24,42,35,22,32,14,5,10,2,1,2,739,243,445,587,agua,100,,,,,,,6,2,,576,215
Cherubi,40,15,21,26,23,15,28,14,26,10,4,8,3,1,1,500,160,288,376,planta,100,,,,,,,2,1,,577,216
Cherrim,65,25,50,30,50,25,25,18,35,12,5,10,3,1,1,717,270,445,581,planta,100,,,,,,,7,2,,578,216
CherrimOvercast,65,35,30,45,30,35,45,19,35,18,6,12,3,1,2,793,250,455,613,planta,100,,,,,,,-,F,,579,216
Shellos,60,21,21,24,26,16,30,15,20,12,5,5,3,1,1,532,172,304,406,agua,100,,,,,,,3,1,,580,217
Gastrodon,118,34,27,38,33,17,42,21,36,12,8,8,3,1,2,772,278,484,614,agua,100,terrestre,100,,,,,7,2,,581,217
Drifloon,72,23,18,26,21,30,29,12,18,12,5,5,4,1,1,562,190,330,426,fantasma,100,voador,100,,,,,2,1,,582,218
Drifblim,136,33,21,40,24,33,44,15,40,12,5,10,4,1,2,802,304,516,636,fantasma,100,voador,100,,,,,7,2,,583,218
Buneary,41,24,20,20,22,28,31,19,19,19,5,5,2,1,2,564,166,291,407,normal,100,,,,,,,2,1,,584,219
Lopunny,71,34,35,28,37,42,45,29,30,20,10,12,2,1,2,815,248,457,631,normal,100,,,,,,,7,2,,585,219
Mega Lopunny,71,61,35,28,37,61,66,29,30,20,10,15,2,1,2,955,376,591,765,lutador,100,normal,100,,,,,-,FF,,586,219
Glameow,38,23,20,20,16,31,24,24,18,15,9,21,2,1,1,555,158,286,400,normal,100,,,,,,,1,1,,587,220
Purugly,85,35,28,27,21,31,25,28,37,15,12,21,2,1,2,740,229,403,549,normal,100,,,,,,,5,2,,588,220
Stunky,50,25,22,19,19,27,24,20,22,12,10,10,3,1,1,552,154,290,406,venenoso,100,sombrio,100,,,,,3,1,,589,221
Skuntank,100,43,29,36,28,32,30,29,32,14,12,10,3,1,2,794,258,446,618,venenoso,100,sombrio,100,,,,,7,2,,590,221
Bronzor,41,11,34,11,34,11,20,14,22,10,5,10,4,1,1,495,180,289,355,metal,100,psiquico,100,,,,,3,1,,591,222
Bronzong,80,32,57,29,57,12,28,21,35,11,5,13,4,1,2,791,308,500,624,metal,100,psiquico,100,,,,,8,2,,592,222
Chatot,39,20,19,27,19,30,78,23,26,16,8,12,5,1,2,721,270,408,523,sonoro,100,voador,100,,,,,4,1,,593,223
